nanoseconds,logic,logic,logic,logic,logic,logic,logic,logic
58750,0,1,0,0,1,1,1,1
60000,0,0,0,0,1,1,1,1
61250,0,1,0,0,1,1,1,1
62500,0,0,0,0,1,1,1,1
63750,0,1,0,0,1,1,1,1
65000,0,0,0,0,1,1,1,1
66250,0,1,0,0,1,1,1,1
67500,0,0,0,0,1,1,1,1
68750,0,1,0,0,1,1,1,1
70000,0,0,0,0,1,1,1,1
71250,0,1,0,0,1,1,1,1
72500,1,0,1,1,1,1,1,1
72625,1,0,1,1,1,1,1,1
72750,1,0,1,1,1,1,1,1
72875,1,0,1,1,1,1,1,1
73000,1,0,1,1,1,1,1,1
73125,1,0,1,1,1,1,1,1
73250,1,0,1,1,1,1,1,1
73375,1,0,1,1,1,1,1,1
73500,1,0,1,1,1,1,1,1
73625,1,0,1,1,1,1,1,1
73750,1,0,1,1,1,1,1,1
73875,1,0,1,1,1,1,1,1
74000,1,0,1,1,1,1,1,1
74125,1,0,1,1,1,1,1,1
74250,1,0,1,1,1,1,1,1
74375,1,0,1,1,1,1,1,1
74500,1,0,1,1,1,1,1,1
74625,1,0,1,1,1,1,1,1
74750,1,0,1,1,1,1,1,1
74875,1,0,1,1,1,1,1,1
75000,1,0,1,1,1,1,1,1
75125,1,0,1,1,1,1,1,1
75250,1,0,1,1,1,1,1,1
75375,1,0,1,1,1,1,1,1
75500,1,0,1,1,1,1,1,1
75625,1,0,1,1,1,1,1,1
75750,1,0,1,1,1,1,1,1
75875,1,0,1,1,1,1,1,1
76000,1,0,1,1,1,1,1,1
76125,1,0,1,1,1,1,1,1
76250,1,0,1,1,1,1,1,1
76375,1,0,1,1,1,1,1,1
76500,1,0,1,1,1,1,1,1
76625,1,0,1,1,1,1,1,1
76750,1,0,1,1,1,1,1,1
76875,1,0,1,1,1,1,1,1
77000,1,0,1,1,1,1,1,1
77125,1,0,1,1,1,1,1,1
77250,1,0,1,1,1,1,1,1
77375,1,0,1,1,1,1,1,1
77500,1,0,1,1,1,1,1,1
77625,1,0,1,1,1,1,1,1
77750,1,0,1,1,1,1,1,1
77875,1,0,1,1,1,1,1,1
78000,1,0,1,1,1,1,1,1
78125,1,0,1,1,1,1,1,1
78250,1,0,1,1,1,1,1,1
78375,1,0,1,1,1,1,1,1
78500,1,0,1,1,1,1,1,1
78625,1,0,1,1,1,1,1,1
